Distributor Area,Origin Area,Origin Latitude,Longitude_x,Destination Area,Destination Latitude,Destination Longitude,Volume (CS),Distance (km),Cost/Trip
DC-JKT,DC-JKT,-6.2,106.8,Tg. Priok,-6.1051,106.887,829,14.278080413040605,7.453558982833484
CDP-KLT,CDP-BNR,-8.0,117.0,Palangkaraya,-2.2089,113.9167,676,728.8153688487107,3763.6490027816376
DC-MDN,CDP-BNR,-8.0,117.0,Padang,-0.957,100.354,1593,2003.478316081565,8697.829939939644
DC-JKT,CDP-BNR,-8.0,117.0,Semarang,-6.9667,110.4233,1534,734.0973457642056,3875.3365075285024
DC-MDN,CDP-KLT,-0.5,115.0,Padang,-0.957,100.354,295,1629.2168947507525,8422.580673851935
CDP-SUL,DC-JKT,-6.2,106.8,Palu,-0.8906,119.8829,125,1566.9061758414766,5933.706484375003
DC-MDN,DC-SBY,-7.2,112.7,Padang,-0.957,100.354,4897,1534.6199680641475,802.0429922736568
CDP-KLT,CDP-SUL,-3.0,120.0,Pontianak,-0.0267,109.33,4580,1231.1250715639362,5742.112261381495
DC-MDN,CDP-KLT,-0.5,115.0,Palembang,-2.9761,104.7754,4213,1169.191156381192,6399.362088044178
CDP-BNR,CDP-SUL,-3.0,120.0,Denpasar,-8.65,115.2167,1666,821.246046717488,4494.4756746079265
DC-JKT,CDP-BNR,-8.0,117.0,Yogyakarta,-7.7956,110.3695,1695,730.6301718512826,2930.249829859916
CDP-SUL,DC-MDN,3.6,98.6,Makassar,-5.1477,119.4327,1015,2510.1452364227553,12241.26563683986
CDP-BNR,CDP-SUL,-3.0,120.0,Mataram,-8.5833,116.1167,1042,754.8772804835337,3759.193554719194
CDP-BNR,CDP-SUL,-3.0,120.0,Mataram,-8.5833,116.1167,3359,754.8772804835337,3420.336292498165
CDP-KLT,CDP-BNR,-8.0,117.0,Palangkaraya,-2.2089,113.9167,3986,728.8153688487107,2795.001152238813
CDP-KLT,CDP-BNR,-8.0,117.0,Pontianak,-0.0267,109.33,3311,1228.278121253845,6873.5620179966245
CDP-BNR,CDP-KLT,-0.5,115.0,Denpasar,-8.65,115.2167,4525,906.5563541022262,4592.754421739933
DC-JKT,CDP-KLT,-0.5,115.0,Yogyakarta,-7.7956,110.3695,1581,959.9271387718734,5226.944247902061
CDP-SUL,CDP-BNR,-8.0,117.0,Kendari,-3.9888,122.5159,4491,755.5538597593122,3493.0905050462775
DC-MDN,CDP-BNR,-8.0,117.0,Palembang,-2.9761,104.7754,4816,1463.4316150976615,5896.894639413388
DC-SBY,DC-JKT,-6.2,106.8,Jakarta,-6.2088,106.8456,281,5.134885309594459,2.2084298739989876
CDP-KLT,CDP-SUL,-3.0,120.0,Palangkaraya,-2.2089,113.9167,3818,681.4289943217439,2909.21841041402
CDP-SUL,CDP-BNR,-8.0,117.0,Kendari,-3.9888,122.5159,4835,755.5538597593122,3618.724803583437
CDP-SUL,DC-SBY,-7.2,112.7,Palu,-0.8906,119.8829,419,1061.2727134521751,4455.549409171311
DC-SBY,DC-JKT,-6.2,106.8,Tg. Priok,-6.1051,106.887,205,14.278080413040605,7.219988707778691
CDP-KLT,CDP-KLT,-0.5,115.0,Pontianak,-0.0267,109.33,355,632.6595614416826,3309.307999287108
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,772,2096.5288073463084,8634.140115035723
CDP-KLT,CDP-SUL,-3.0,120.0,Pontianak,-0.0267,109.33,1946,1231.1250715639362,5923.55810335775
DC-MDN,CDP-KLT,-0.5,115.0,Pekanbaru,0.5061,101.4477,3000,1511.0746102178837,6406.558378954832
CDP-SUL,CDP-KLT,-0.5,115.0,Makassar,-5.1477,119.4327,1259,713.6549165253224,3937.3314880819216
DC-JKT,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,922,252.56074901137438,127.57758489771882
DC-JKT,DC-MDN,3.6,98.6,Yogyakarta,-7.7956,110.3695,1112,1819.4428648275564,821.504146511427
DC-MDN,CDP-KLT,-0.5,115.0,Pekanbaru,0.5061,101.4477,3926,1511.0746102178837,6488.948688378423
DC-MDN,CDP-SUL,-3.0,120.0,Palembang,-2.9761,104.7754,195,1690.5851298239772,9090.070072186805
DC-MDN,DC-JKT,-6.2,106.8,Palembang,-2.9761,104.7754,3663,422.90941316625606,217.01852888231605
CDP-BNR,CDP-SUL,-3.0,120.0,Denpasar,-8.65,115.2167,936,821.246046717488,4104.27890017023
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,1295,2368.007875564744,10089.073763205168
DC-MDN,DC-SBY,-7.2,112.7,Pekanbaru,0.5061,101.4477,4657,1513.9381482957867,761.5469283007637
CDP-SUL,CDP-SUL,-3.0,120.0,Manado,1.4748,124.8421,3188,732.9904053579337,3989.3971391710043
DC-JKT,DC-JKT,-6.2,106.8,Yogyakarta,-7.7956,110.3695,2539,432.0497972825557,217.27331652571897
DC-SBY,CDP-KLT,-0.5,115.0,Jakarta,-6.2088,106.8456,2211,1105.2640612494788,4318.371863958037
CDP-BNR,DC-MDN,3.6,98.6,Denpasar,-8.65,115.2167,3424,2291.2073540769134,12278.217608503483
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,1085,2368.007875564744,10014.704778991163
CDP-BNR,DC-JKT,-6.2,106.8,Mataram,-8.5833,116.1167,3547,1060.8969766122175,5066.832407422752
DC-MDN,DC-MDN,3.6,98.6,Palembang,-2.9761,104.7754,1400,1002.8379470237779,483.7990717207972
DC-MDN,DC-SBY,-7.2,112.7,Medan,3.5952,98.6722,3249,1965.7793229313918,858.8039102579223
DC-SBY,DC-MDN,3.6,98.6,Jakarta,-6.2088,106.8456,2498,1423.9934096390716,721.0158818233721
DC-SBY,CDP-SUL,-3.0,120.0,Bandung,-6.9175,107.6191,305,1438.7742021763645,6509.089846980554
DC-JKT,DC-JKT,-6.2,106.8,Semarang,-6.9667,110.4233,2403,409.21110755158253,234.24292636273972
DC-SBY,DC-MDN,3.6,98.6,Tg. Priok,-6.1051,106.887,683,1418.1864383984378,605.3859348828175
DC-JKT,CDP-SUL,-3.0,120.0,Yogyakarta,-7.7956,110.3695,3519,1191.740520183319,6443.041915068285
DC-MDN,CDP-KLT,-0.5,115.0,Palembang,-2.9761,104.7754,3555,1169.191156381192,5866.287109642036
CDP-BNR,CDP-KLT,-0.5,115.0,Mataram,-8.5833,116.1167,808,907.2909384257198,3534.661227685436
DC-JKT,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,3526,252.56074901137438,146.53350597988458
CDP-BNR,CDP-BNR,-8.0,117.0,Denpasar,-8.65,115.2167,338,209.09231495917885,1058.1868011623403
CDP-KLT,DC-JKT,-6.2,106.8,Palangkaraya,-2.2089,113.9167,786,905.2865376161213,3593.669874157257
DC-MDN,DC-JKT,-6.2,106.8,Palembang,-2.9761,104.7754,3449,422.90941316625606,199.77543651367682
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,3087,2096.5288073463084,9174.372558442677
DC-MDN,DC-MDN,3.6,98.6,Pekanbaru,0.5061,101.4477,1008,467.4054225189695,250.60375020535844
CDP-KLT,CDP-SUL,-3.0,120.0,Balikpapan,-1.2653,116.8253,3435,402.0457254447599,1644.3611916164243
CDP-BNR,CDP-SUL,-3.0,120.0,Mataram,-8.5833,116.1167,2415,754.8772804835337,3424.5210326365946
DC-MDN,DC-MDN,3.6,98.6,Padang,-0.957,100.354,4303,542.9171842203448,232.0184028176405
DC-MDN,DC-MDN,3.6,98.6,Medan,3.5952,98.6722,1028,8.030210103947999,4.143844763695458
DC-JKT,DC-SBY,-7.2,112.7,Tg. Priok,-6.1051,106.887,2611,653.4519393604972,358.79948114410496
CDP-KLT,CDP-BNR,-8.0,117.0,Palangkaraya,-2.2089,113.9167,1959,728.8153688487107,3257.889976395184
CDP-SUL,CDP-SUL,-3.0,120.0,Palu,-0.8906,119.8829,1013,234.91526160969528,1001.8595959894016
CDP-KLT,DC-MDN,3.6,98.6,Pontianak,-0.0267,109.33,3512,1258.6905574161763,6129.448826460836
DC-JKT,DC-JKT,-6.2,106.8,Surabaya,-7.2575,112.7521,974,667.7064674632145,270.21153968157
CDP-KLT,CDP-SUL,-3.0,120.0,Pontianak,-0.0267,109.33,1357,1231.1250715639362,5002.1357694536655
CDP-BNR,DC-MDN,3.6,98.6,Denpasar,-8.65,115.2167,3799,2291.2073540769134,11551.162153681555
CDP-SUL,CDP-BNR,-8.0,117.0,Makassar,-5.1477,119.4327,4378,415.67890886515187,2069.367724240714
CDP-SUL,DC-SBY,-7.2,112.7,Makassar,-5.1477,119.4327,3750,778.4546025667233,4297.6997820112665
CDP-SUL,CDP-SUL,-3.0,120.0,Makassar,-5.1477,119.4327,1761,246.9624609490256,1158.6337721928392
CDP-SUL,DC-MDN,3.6,98.6,Palu,-0.8906,119.8829,2049,2417.405593684529,12982.122674423605
DC-MDN,DC-SBY,-7.2,112.7,Medan,3.5952,98.6722,2043,1965.7793229313918,948.0810737872529
CDP-KLT,DC-JKT,-6.2,106.8,Palangkaraya,-2.2089,113.9167,4119,905.2865376161213,3611.9053759806134
DC-JKT,CDP-SUL,-3.0,120.0,Semarang,-6.9667,110.4233,630,1148.6873892125689,6111.517890590716
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,3355,2096.5288073463084,8660.870094592528
DC-SBY,CDP-BNR,-8.0,117.0,Jakarta,-6.2088,106.8456,1487,1137.944579317045,5897.9280181470795
CDP-KLT,DC-SBY,-7.2,112.7,Balikpapan,-1.2653,116.8253,3273,802.8445769475228,3757.5344319018486
DC-MDN,CDP-SUL,-3.0,120.0,Medan,3.5952,98.6722,1640,2481.0569613731654,13135.65457572607
DC-JKT,CDP-KLT,-0.5,115.0,Yogyakarta,-7.7956,110.3695,2858,959.9271387718734,3777.262117929311
CDP-BNR,CDP-BNR,-8.0,117.0,Mataram,-8.5833,116.1167,4418,116.84593138218402,586.8159848871446
CDP-BNR,DC-SBY,-7.2,112.7,Mataram,-8.5833,116.1167,1707,406.5332407074668,1710.2853652822214
CDP-KLT,DC-SBY,-7.2,112.7,Pontianak,-0.0267,109.33,958,880.8509080107294,3755.631398406029
CDP-SUL,DC-MDN,3.6,98.6,Palu,-0.8906,119.8829,4664,2417.405593684529,11401.459638317132
CDP-SUL,CDP-SUL,-3.0,120.0,Makassar,-5.1477,119.4327,4991,246.9624609490256,1256.8154871701745
DC-SBY,DC-JKT,-6.2,106.8,Bandung,-6.9175,107.6191,3139,120.6333559325586,57.50365655877666
CDP-KLT,CDP-SUL,-3.0,120.0,Pontianak,-0.0267,109.33,694,1231.1250715639362,6906.663326423023
CDP-SUL,DC-SBY,-7.2,112.7,Kendari,-3.9888,122.5159,2215,1143.3092574038453,5177.2907154308095
DC-JKT,DC-JKT,-6.2,106.8,Semarang,-6.9667,110.4233,2960,409.21110755158253,176.51858527162818
CDP-SUL,CDP-BNR,-8.0,117.0,Makassar,-5.1477,119.4327,3861,415.67890886515187,1714.3702125071497
CDP-SUL,CDP-SUL,-3.0,120.0,Kendari,-3.9888,122.5159,1662,300.0986279216074,1687.5383928131616
CDP-SUL,CDP-KLT,-0.5,115.0,Manado,1.4748,124.8421,2308,1116.1120891327735,5400.551145657894
CDP-SUL,DC-MDN,3.6,98.6,Manado,1.4748,124.8421,3312,2924.4708843176863,11571.395533105848
CDP-SUL,CDP-BNR,-8.0,117.0,Kendari,-3.9888,122.5159,2031,755.5538597593122,3983.9093971762827
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,2697,2096.5288073463084,9473.807138569688
CDP-SUL,CDP-KLT,-0.5,115.0,Kendari,-3.9888,122.5159,1928,920.6792554302883,5071.889331883126
DC-JKT,CDP-KLT,-0.5,115.0,Semarang,-6.9667,110.4233,2144,880.1491632445931,4215.367798592831
CDP-KLT,CDP-KLT,-0.5,115.0,Palangkaraya,-2.2089,113.9167,274,224.96399863478132,848.0643556289334
DC-SBY,DC-SBY,-7.2,112.7,Tg. Priok,-6.1051,106.887,4376,653.4519393604972,282.70059752186523
DC-JKT,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,1642,252.56074901137438,140.84722652093532
CDP-KLT,CDP-KLT,-0.5,115.0,Pontianak,-0.0267,109.33,3302,632.6595614416826,3323.294947254844
CDP-BNR,CDP-SUL,-3.0,120.0,Denpasar,-8.65,115.2167,1357,821.246046717488,4492.738883449814
CDP-BNR,CDP-KLT,-0.5,115.0,Denpasar,-8.65,115.2167,3246,906.5563541022262,4612.905238863311
CDP-SUL,DC-SBY,-7.2,112.7,Palu,-0.8906,119.8829,1143,1061.2727134521751,4463.544213424238
CDP-KLT,CDP-KLT,-0.5,115.0,Palangkaraya,-2.2089,113.9167,2206,224.96399863478132,879.2943366097974
CDP-KLT,CDP-SUL,-3.0,120.0,Palangkaraya,-2.2089,113.9167,1025,681.4289943217439,2786.2097982277833
DC-SBY,CDP-KLT,-0.5,115.0,Bandung,-6.9175,107.6191,2796,1085.938309797235,4763.77085482056
DC-MDN,DC-MDN,3.6,98.6,Padang,-0.957,100.354,4672,542.9171842203448,239.91491473126982
DC-SBY,DC-MDN,3.6,98.6,Surabaya,-7.2575,112.7521,3938,1980.8953803693546,853.6392557179099
CDP-SUL,DC-MDN,3.6,98.6,Palu,-0.8906,119.8829,3591,2417.405593684529,10166.787328345046
DC-MDN,DC-MDN,3.6,98.6,Pekanbaru,0.5061,101.4477,2514,467.4054225189695,201.19002147925826
DC-JKT,CDP-KLT,-0.5,115.0,Surabaya,-7.2575,112.7521,2304,791.6565186249713,3475.2401392444494
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,1069,2368.007875564744,9149.77540547373
DC-JKT,CDP-SUL,-3.0,120.0,Bandung,-6.9175,107.6191,1551,1438.7742021763645,7743.404445636753
DC-JKT,DC-SBY,-7.2,112.7,Bandung,-6.9175,107.6191,4480,561.564094988836,318.01082423965585
DC-JKT,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,2663,252.56074901137438,104.86812977903783
DC-JKT,DC-SBY,-7.2,112.7,Jakarta,-6.2088,106.8456,3336,655.8431676337594,296.56457941620357
CDP-SUL,CDP-BNR,-8.0,117.0,Manado,1.4748,124.8421,855,1366.0680166569687,5657.091411651922
DC-JKT,DC-MDN,3.6,98.6,Yogyakarta,-7.7956,110.3695,2304,1819.4428648275564,864.9548867230519
CDP-KLT,DC-MDN,3.6,98.6,Palangkaraya,-2.2089,113.9167,2299,1820.708030061488,9844.583948512825
CDP-SUL,CDP-SUL,-3.0,120.0,Kendari,-3.9888,122.5159,3345,300.0986279216074,1646.276734659248
DC-SBY,CDP-KLT,-0.5,115.0,Tg. Priok,-6.1051,106.887,4929,1094.9524292688097,4396.588107402604
DC-JKT,DC-JKT,-6.2,106.8,Semarang,-6.9667,110.4233,1649,409.21110755158253,221.02155218341633
DC-MDN,DC-JKT,-6.2,106.8,Padang,-0.957,100.354,4561,922.641145285623,431.8178975886811
CDP-SUL,DC-SBY,-7.2,112.7,Palu,-0.8906,119.8829,1759,1061.2727134521751,5798.981839974734
CDP-SUL,CDP-SUL,-3.0,120.0,Makassar,-5.1477,119.4327,2284,246.9624609490256,982.2435051561405
CDP-SUL,DC-MDN,3.6,98.6,Kendari,-3.9888,122.5159,2367,2788.1218414522277,11338.348333584136
DC-SBY,CDP-SUL,-3.0,120.0,Surabaya,-7.2575,112.7521,4631,931.7407518996073,4932.985897541769
DC-JKT,DC-MDN,3.6,98.6,Bandung,-6.9175,107.6191,123,1539.4159475701797,850.104365180886
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,661,320.6485338953572,1520.4419028973982
CDP-KLT,CDP-KLT,-0.5,115.0,Palangkaraya,-2.2089,113.9167,4513,224.96399863478132,1093.0399607631311
DC-SBY,CDP-KLT,-0.5,115.0,Tg. Priok,-6.1051,106.887,3908,1094.9524292688097,5775.80251099773
CDP-SUL,CDP-BNR,-8.0,117.0,Kendari,-3.9888,122.5159,3591,755.5538597593122,3711.4776120087777
DC-SBY,DC-JKT,-6.2,106.8,Bandung,-6.9175,107.6191,1501,120.6333559325586,72.02982963300244
DC-SBY,DC-MDN,3.6,98.6,Bandung,-6.9175,107.6191,271,1539.4159475701797,672.1251056602388
DC-MDN,DC-SBY,-7.2,112.7,Pekanbaru,0.5061,101.4477,2833,1513.9381482957867,745.2450587918516
CDP-SUL,DC-JKT,-6.2,106.8,Makassar,-5.1477,119.4327,2171,1402.6513007331262,5600.6828071664595
DC-MDN,DC-MDN,3.6,98.6,Medan,3.5952,98.6722,2896,8.030210103947999,3.97720052178824
DC-MDN,DC-SBY,-7.2,112.7,Medan,3.5952,98.6722,711,1965.7793229313918,1136.284669374592
CDP-BNR,CDP-KLT,-0.5,115.0,Denpasar,-8.65,115.2167,1075,906.5563541022262,4448.7688188345855
DC-SBY,CDP-BNR,-8.0,117.0,Tg. Priok,-6.1051,106.887,4235,1135.6486895447179,5431.758901626512
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,4797,2096.5288073463084,9964.56475151931
CDP-BNR,DC-JKT,-6.2,106.8,Denpasar,-8.65,115.2167,1017,967.121316350991,4076.286939083849
DC-JKT,DC-JKT,-6.2,106.8,Semarang,-6.9667,110.4233,3649,409.21110755158253,177.29441740079054
DC-SBY,CDP-KLT,-0.5,115.0,Yogyakarta,-7.7956,110.3695,837,959.9271387718734,3825.062506992343
DC-JKT,CDP-BNR,-8.0,117.0,Semarang,-6.9667,110.4233,4240,734.0973457642056,3277.4567325498297
DC-SBY,DC-SBY,-7.2,112.7,Tg. Priok,-6.1051,106.887,3517,653.4519393604972,308.38208532974284
CDP-SUL,CDP-SUL,-3.0,120.0,Makassar,-5.1477,119.4327,3780,246.9624609490256,1099.1060661118706
CDP-KLT,CDP-SUL,-3.0,120.0,Pontianak,-0.0267,109.33,3824,1231.1250715639362,6391.763182655842
DC-SBY,CDP-KLT,-0.5,115.0,Bandung,-6.9175,107.6191,4666,1085.938309797235,4906.165673292498
DC-MDN,CDP-SUL,-3.0,120.0,Medan,3.5952,98.6722,3593,2481.0569613731654,13418.81503019888
CDP-KLT,DC-JKT,-6.2,106.8,Balikpapan,-1.2653,116.8253,4592,1240.0510971490385,5071.303752124876
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,3581,320.6485338953572,1410.0910937906515
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,2236,2096.5288073463084,10589.19618235257
DC-JKT,DC-JKT,-6.2,106.8,Semarang,-6.9667,110.4233,2350,409.21110755158253,241.0785511785059
CDP-KLT,DC-SBY,-7.2,112.7,Pontianak,-0.0267,109.33,2306,880.8509080107294,4917.086898698829
CDP-KLT,CDP-KLT,-0.5,115.0,Palangkaraya,-2.2089,113.9167,3119,224.96399863478132,919.71982630455
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,4867,320.6485338953572,1640.752287692982
CDP-BNR,CDP-SUL,-3.0,120.0,Denpasar,-8.65,115.2167,2310,821.246046717488,4159.408674444196
CDP-BNR,DC-JKT,-6.2,106.8,Denpasar,-8.65,115.2167,2158,967.121316350991,5056.330257566425
CDP-SUL,CDP-SUL,-3.0,120.0,Kendari,-3.9888,122.5159,2019,300.0986279216074,1354.1730074396673
CDP-SUL,CDP-KLT,-0.5,115.0,Palu,-0.8906,119.8829,1733,544.6471804576853,2166.7413329711017
CDP-BNR,CDP-SUL,-3.0,120.0,Mataram,-8.5833,116.1167,422,754.8772804835337,3564.924310141386
CDP-BNR,DC-JKT,-6.2,106.8,Denpasar,-8.65,115.2167,3465,967.121316350991,4540.862016186123
DC-SBY,CDP-SUL,-3.0,120.0,Semarang,-6.9667,110.4233,4612,1148.6873892125689,6385.823553232732
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,2264,2368.007875564744,11097.497119746784
CDP-BNR,DC-JKT,-6.2,106.8,Mataram,-8.5833,116.1167,4936,1060.8969766122175,4554.242768272742
CDP-KLT,DC-MDN,3.6,98.6,Pontianak,-0.0267,109.33,2613,1258.6905574161763,6929.339478702349
CDP-BNR,CDP-SUL,-3.0,120.0,Mataram,-8.5833,116.1167,3343,754.8772804835337,3619.8147891541003
CDP-BNR,DC-JKT,-6.2,106.8,Denpasar,-8.65,115.2167,153,967.121316350991,5417.852382595655
DC-JKT,DC-MDN,3.6,98.6,Surabaya,-7.2575,112.7521,2762,1980.8953803693546,1083.2949059843197
CDP-SUL,CDP-KLT,-0.5,115.0,Kendari,-3.9888,122.5159,2319,920.6792554302883,4892.77466235253
CDP-KLT,CDP-BNR,-8.0,117.0,Pontianak,-0.0267,109.33,3104,1228.278121253845,5544.225349731504
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,641,2368.007875564744,12228.587971353687
CDP-BNR,DC-SBY,-7.2,112.7,Mataram,-8.5833,116.1167,4463,406.5332407074668,1672.274612415736
DC-SBY,DC-JKT,-6.2,106.8,Tg. Priok,-6.1051,106.887,4272,14.278080413040605,6.682425812003824
CDP-KLT,CDP-KLT,-0.5,115.0,Palangkaraya,-2.2089,113.9167,2340,224.96399863478132,1068.7019920751513
CDP-SUL,DC-MDN,3.6,98.6,Makassar,-5.1477,119.4327,644,2510.1452364227553,10486.386973581015
CDP-BNR,CDP-BNR,-8.0,117.0,Denpasar,-8.65,115.2167,1715,209.09231495917885,1058.9839000043312
CDP-SUL,DC-MDN,3.6,98.6,Manado,1.4748,124.8421,2190,2924.4708843176863,15661.388555668727
DC-SBY,CDP-KLT,-0.5,115.0,Yogyakarta,-7.7956,110.3695,2638,959.9271387718734,4816.629725548689
CDP-KLT,CDP-BNR,-8.0,117.0,Balikpapan,-1.2653,116.8253,2960,749.1144479667884,2912.404968796874
DC-MDN,DC-MDN,3.6,98.6,Palembang,-2.9761,104.7754,4754,1002.8379470237779,550.4773193786804
DC-SBY,DC-JKT,-6.2,106.8,Bandung,-6.9175,107.6191,2672,120.6333559325586,58.67949080068811
CDP-KLT,DC-SBY,-7.2,112.7,Balikpapan,-1.2653,116.8253,4390,802.8445769475228,3301.4988891414887
DC-SBY,DC-JKT,-6.2,106.8,Bandung,-6.9175,107.6191,326,120.6333559325586,67.78454858597763
DC-JKT,CDP-KLT,-0.5,115.0,Surabaya,-7.2575,112.7521,2962,791.6565186249713,3618.073110394937
CDP-BNR,DC-MDN,3.6,98.6,Mataram,-8.5833,116.1167,4600,2368.007875564744,13137.850989840617
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,3276,2096.5288073463084,8991.894660543901
CDP-BNR,CDP-BNR,-8.0,117.0,Mataram,-8.5833,116.1167,4936,116.84593138218402,480.03312329130597
CDP-SUL,DC-JKT,-6.2,106.8,Kendari,-3.9888,122.5159,3950,1757.7524542612707,8014.071775059498
DC-JKT,CDP-BNR,-8.0,117.0,Bandung,-6.9175,107.6191,578,1041.2274560842995,5271.08615241542
DC-MDN,CDP-KLT,-0.5,115.0,Medan,3.5952,98.6722,4368,1870.780233321527,9236.132283513538
DC-MDN,DC-JKT,-6.2,106.8,Pekanbaru,0.5061,101.4477,130,953.3970850890278,408.8436775248867
CDP-BNR,CDP-KLT,-0.5,115.0,Mataram,-8.5833,116.1167,832,907.2909384257198,4016.303652003639
CDP-BNR,DC-SBY,-7.2,112.7,Mataram,-8.5833,116.1167,4812,406.5332407074668,1905.1323511625421
DC-JKT,CDP-KLT,-0.5,115.0,Yogyakarta,-7.7956,110.3695,1471,959.9271387718734,5301.991896621322
DC-SBY,CDP-SUL,-3.0,120.0,Jakarta,-6.2088,106.8456,3982,1500.7970868827967,6182.981380601246
CDP-SUL,CDP-SUL,-3.0,120.0,Kendari,-3.9888,122.5159,2032,300.0986279216074,1283.5499044558733
CDP-SUL,CDP-BNR,-8.0,117.0,Kendari,-3.9888,122.5159,2882,755.5538597593122,3227.9168395248257
DC-JKT,DC-MDN,3.6,98.6,Tg. Priok,-6.1051,106.887,2829,1418.1864383984378,808.0971080322381
CDP-KLT,DC-MDN,3.6,98.6,Balikpapan,-1.2653,116.8253,331,2096.5288073463084,10549.979058753172
DC-JKT,CDP-BNR,-8.0,117.0,Jakarta,-6.2088,106.8456,3458,1137.944579317045,5682.438220034721
CDP-BNR,DC-SBY,-7.2,112.7,Mataram,-8.5833,116.1167,2126,406.5332407074668,1949.2056909933563
DC-JKT,CDP-BNR,-8.0,117.0,Jakarta,-6.2088,106.8456,1440,1137.944579317045,6409.988791258408
CDP-BNR,CDP-BNR,-8.0,117.0,Denpasar,-8.65,115.2167,4148,209.09231495917885,944.1049900438531
CDP-KLT,DC-JKT,-6.2,106.8,Pontianak,-0.0267,109.33,2495,741.6411412678369,3757.876746674639
CDP-SUL,CDP-KLT,-0.5,115.0,Makassar,-5.1477,119.4327,1539,713.6549165253224,4006.646943458701
CDP-BNR,CDP-KLT,-0.5,115.0,Mataram,-8.5833,116.1167,4329,907.2909384257198,3790.430304937105
DC-MDN,DC-SBY,-7.2,112.7,Pekanbaru,0.5061,101.4477,2695,1513.9381482957867,623.7985131283478
DC-MDN,CDP-BNR,-8.0,117.0,Padang,-0.957,100.354,4317,2003.478316081565,10217.340751714431
DC-MDN,CDP-BNR,-8.0,117.0,Pekanbaru,0.5061,101.4477,2092,1966.4208305163588,10819.293426335566
DC-MDN,CDP-SUL,-3.0,120.0,Palembang,-2.9761,104.7754,1389,1690.5851298239772,8334.828251789218
DC-JKT,CDP-SUL,-3.0,120.0,Semarang,-6.9667,110.4233,4884,1148.6873892125689,6183.936709188258
DC-JKT,CDP-KLT,-0.5,115.0,Semarang,-6.9667,110.4233,3049,880.1491632445931,3969.1579353343386
DC-MDN,DC-MDN,3.6,98.6,Pekanbaru,0.5061,101.4477,4795,467.4054225189695,270.35068427417383
DC-MDN,CDP-BNR,-8.0,117.0,Palembang,-2.9761,104.7754,1549,1463.4316150976615,6163.406159668556
CDP-BNR,DC-JKT,-6.2,106.8,Mataram,-8.5833,116.1167,728,1060.8969766122175,5587.755702544422
CDP-KLT,DC-MDN,3.6,98.6,Palangkaraya,-2.2089,113.9167,2374,1820.708030061488,7354.090307741213
CDP-KLT,CDP-KLT,-0.5,115.0,Palangkaraya,-2.2089,113.9167,2653,224.96399863478132,1104.8924868292788
CDP-BNR,CDP-SUL,-3.0,120.0,Denpasar,-8.65,115.2167,487,821.246046717488,4517.033418018366
DC-JKT,DC-SBY,-7.2,112.7,Semarang,-6.9667,110.4233,2123,252.56074901137438,116.2146489979291
CDP-BNR,CDP-BNR,-8.0,117.0,Mataram,-8.5833,116.1167,4992,116.84593138218402,479.4988544578034
DC-SBY,DC-MDN,3.6,98.6,Semarang,-6.9667,110.4233,155,1761.4031138772393,834.7169143906505
CDP-SUL,DC-SBY,-7.2,112.7,Kendari,-3.9888,122.5159,2852,1143.3092574038453,5304.945371716054
DC-MDN,CDP-SUL,-3.0,120.0,Padang,-0.957,100.354,1888,2194.891776122058,11557.86016831765
DC-SBY,DC-MDN,3.6,98.6,Surabaya,-7.2575,112.7521,4970,1980.8953803693546,1034.6345984987381
CDP-BNR,DC-SBY,-7.2,112.7,Denpasar,-8.65,115.2167,1366,320.6485338953572,1324.959423308107
DC-SBY,CDP-SUL,-3.0,120.0,Jakarta,-6.2088,106.8456,3628,1500.7970868827967,6303.765473995355
DC-MDN,CDP-KLT,-0.5,115.0,Medan,3.5952,98.6722,2531,1870.780233321527,9747.456136124832
DC-SBY,DC-JKT,-6.2,106.8,Jakarta,-6.2088,106.8456,4849,5.134885309594459,2.881506258207607
