Distributor Area,Origin Area,Origin Latitude,Longitude_x,Destination Area,Destination Latitude,Destination Longitude,Volume (CS)
Sulawesi,Perkasa,0.62005,123.02368,Madani,-3.97929,119.65472,200
Sulawesi,Perkasa,0.62005,123.02368,Pelangi,-1.38101,120.76128,200
Sulawesi,Srikandi,-0.96424,122.78153,Jati,-5.48159,122.58,200
Sulawesi,Srikandi,-0.96424,122.78153,Rajawali,-4.55181,120.3264,200
Sulawesi,Srikandi,-0.96424,122.78153,Perkasa,0.62005,123.02368,200
Sulawesi,Srikandi,-0.96424,122.78153,Bangkit,-2.68747,118.89864,200
Sulawesi,Srikandi,-0.96424,122.78153,Bahagia,-3.00675,120.20264,200
Sulawesi,Srikandi,-0.96424,122.78153,Madani,-3.97929,119.65472,200
Sulawesi,Srikandi,-0.96424,122.78153,Pelangi,-1.38101,120.76128,200
Sulawesi,Bangkit,-2.68747,118.89864,Jati,-5.48159,122.58,200
Sulawesi,Bangkit,-2.68747,118.89864,Rajawali,-4.55181,120.3264,200
Sulawesi,Bangkit,-2.68747,118.89864,Perkasa,0.62005,123.02368,200
Sulawesi,Bangkit,-2.68747,118.89864,Srikandi,-0.96424,122.78153,200
Sulawesi,Bangkit,-2.68747,118.89864,Bahagia,-3.00675,120.20264,200
Sulawesi,Bangkit,-2.68747,118.89864,Madani,-3.97929,119.65472,200
Sulawesi,Bangkit,-2.68747,118.89864,Pelangi,-1.38101,120.76128,200
Sulawesi,Bahagia,-3.00675,120.20264,Jati,-5.48159,122.58,200
Sulawesi,Bahagia,-3.00675,120.20264,Rajawali,-4.55181,120.3264,200
Sulawesi,Bahagia,-3.00675,120.20264,Perkasa,0.62005,123.02368,200
Sulawesi,Bahagia,-3.00675,120.20264,Srikandi,-0.96424,122.78153,200
Sulawesi,Bahagia,-3.00675,120.20264,Bangkit,-2.68747,118.89864,200
Sulawesi,Bahagia,-3.00675,120.20264,Madani,-3.97929,119.65472,200
Sulawesi,Bahagia,-3.00675,120.20264,Pelangi,-1.38101,120.76128,200
Sulawesi,Madani,-3.97929,119.65472,Jati,-5.48159,122.58,200
Sulawesi,Madani,-3.97929,119.65472,Rajawali,-4.55181,120.3264,200
Sulawesi,Madani,-3.97929,119.65472,Perkasa,0.62005,123.02368,200
Sulawesi,Madani,-3.97929,119.65472,Srikandi,-0.96424,122.78153,200
Sulawesi,Madani,-3.97929,119.65472,Bangkit,-2.68747,118.89864,200
Sulawesi,Madani,-3.97929,119.65472,Bahagia,-3.00675,120.20264,200
Sulawesi,Madani,-3.97929,119.65472,Pelangi,-1.38101,120.76128,200
Sulawesi,Pelangi,-1.38101,120.76128,Jati,-5.48159,122.58,200
Sulawesi,Pelangi,-1.38101,120.76128,Rajawali,-4.55181,120.3264,200
Sulawesi,Pelangi,-1.38101,120.76128,Perkasa,0.62005,123.02368,200
Sulawesi,Pelangi,-1.38101,120.76128,Srikandi,-0.96424,122.78153,200
Sulawesi,Pelangi,-1.38101,120.76128,Bangkit,-2.68747,118.89864,200
Sulawesi,Pelangi,-1.38101,120.76128,Bahagia,-3.00675,120.20264,200
Sulawesi,Pelangi,-1.38101,120.76128,Madani,-3.97929,119.65472,200
Sulawesi,Surya,1.25533,124.63187,Sagara,-4.40562,119.61877,50
Sulawesi,Surya,1.25533,124.63187,Melati,-3.36284,120.36455,50
Sulawesi,Surya,1.25533,124.63187,Mentari,1.4711,125.15311,50
Sulawesi,Surya,1.25533,124.63187,Harmoni,-5.25188,120.15831,50
Sulawesi,Surya,1.25533,124.63187,Rimba,-5.20514,119.46374,50
Sulawesi,Surya,1.25533,124.63187,Bunga,-5.70104,119.72147,50
Sulawesi,Surya,1.25533,124.63187,Angkasa,-4.07671,121.63507,50
Sulawesi,Surya,1.25533,124.63187,Sejahtera,0.72119,124.30148,50
Sulawesi,Surya,1.25533,124.63187,Asri,-2.52535,120.82405,50
Sulawesi,Surya,1.25533,124.63187,Nirwana,0.48671,122.07034,50
Sulawesi,Surya,1.25533,124.63187,Teratai,-4.81645,119.54193,50
Sulawesi,Surya,1.25533,124.63187,Samudra,-0.81564,120.17009,50
Sulawesi,Surya,1.25533,124.63187,Satria,-3.42045,119.31694,50
Sulawesi,Surya,1.25533,124.63187,Sidoasih,-4.14356,120.03914,50
Sulawesi,Surya,1.25533,124.63187,Arunika,-5.12906,120.25357,50
Sulawesi,Surya,1.25533,124.63187,Kenanga,-5.3974,119.43746,50
Sulawesi,Surya,1.25533,124.63187,Seruni,1.29712,124.8362,50
Sulawesi,Surya,1.25533,124.63187,Mutiara,-3.0292,119.8819,50
Sulawesi,Surya,1.25533,124.63187,Mawar,-4.03681,122.48113,50
Sulawesi,Sagara,-4.40562,119.61877,Surya,1.25533,124.63187,50
Sulawesi,Sagara,-4.40562,119.61877,Melati,-3.36284,120.36455,50
Sulawesi,Sagara,-4.40562,119.61877,Mentari,1.4711,125.15311,50
Sulawesi,Sagara,-4.40562,119.61877,Harmoni,-5.25188,120.15831,50
Sulawesi,Sagara,-4.40562,119.61877,Rimba,-5.20514,119.46374,50
Sulawesi,Sagara,-4.40562,119.61877,Bunga,-5.70104,119.72147,50
Sulawesi,Sagara,-4.40562,119.61877,Angkasa,-4.07671,121.63507,50
Sulawesi,Sagara,-4.40562,119.61877,Sejahtera,0.72119,124.30148,50
Sulawesi,Sagara,-4.40562,119.61877,Asri,-2.52535,120.82405,50
Sulawesi,Sagara,-4.40562,119.61877,Nirwana,0.48671,122.07034,50
Sulawesi,Sagara,-4.40562,119.61877,Teratai,-4.81645,119.54193,50
Sulawesi,Sagara,-4.40562,119.61877,Samudra,-0.81564,120.17009,50
Sulawesi,Sagara,-4.40562,119.61877,Satria,-3.42045,119.31694,50
Sulawesi,Sagara,-4.40562,119.61877,Sidoasih,-4.14356,120.03914,50
Sulawesi,Sagara,-4.40562,119.61877,Arunika,-5.12906,120.25357,50
Sulawesi,Sagara,-4.40562,119.61877,Kenanga,-5.3974,119.43746,50
Sulawesi,Sagara,-4.40562,119.61877,Seruni,1.29712,124.8362,50
Sulawesi,Sagara,-4.40562,119.61877,Mutiara,-3.0292,119.8819,50
Sulawesi,Sagara,-4.40562,119.61877,Mawar,-4.03681,122.48113,50
Sulawesi,Melati,-3.36284,120.36455,Surya,1.25533,124.63187,50
Sulawesi,Melati,-3.36284,120.36455,Sagara,-4.40562,119.61877,50
Sulawesi,Melati,-3.36284,120.36455,Mentari,1.4711,125.15311,50
Sulawesi,Melati,-3.36284,120.36455,Harmoni,-5.25188,120.15831,50
Sulawesi,Melati,-3.36284,120.36455,Rimba,-5.20514,119.46374,50
Sulawesi,Melati,-3.36284,120.36455,Bunga,-5.70104,119.72147,50
Sulawesi,Melati,-3.36284,120.36455,Angkasa,-4.07671,121.63507,50
Sulawesi,Melati,-3.36284,120.36455,Sejahtera,0.72119,124.30148,50
Sulawesi,Melati,-3.36284,120.36455,Asri,-2.52535,120.82405,50
Sulawesi,Melati,-3.36284,120.36455,Nirwana,0.48671,122.07034,50
Sulawesi,Melati,-3.36284,120.36455,Teratai,-4.81645,119.54193,50
Sulawesi,Melati,-3.36284,120.36455,Samudra,-0.81564,120.17009,50
Sulawesi,Melati,-3.36284,120.36455,Satria,-3.42045,119.31694,50
Sulawesi,Melati,-3.36284,120.36455,Sidoasih,-4.14356,120.03914,50
Sulawesi,Melati,-3.36284,120.36455,Arunika,-5.12906,120.25357,50
Sulawesi,Melati,-3.36284,120.36455,Kenanga,-5.3974,119.43746,50
Sulawesi,Melati,-3.36284,120.36455,Seruni,1.29712,124.8362,50
Sulawesi,Melati,-3.36284,120.36455,Mutiara,-3.0292,119.8819,50
Sulawesi,Melati,-3.36284,120.36455,Mawar,-4.03681,122.48113,50
Sulawesi,Mentari,1.4711,125.15311,Surya,1.25533,124.63187,50
Sulawesi,Mentari,1.4711,125.15311,Sagara,-4.40562,119.61877,50
Sulawesi,Mentari,1.4711,125.15311,Melati,-3.36284,120.36455,50
Sulawesi,Mentari,1.4711,125.15311,Harmoni,-5.25188,120.15831,50
Sulawesi,Mentari,1.4711,125.15311,Rimba,-5.20514,119.46374,50
Sulawesi,Mentari,1.4711,125.15311,Bunga,-5.70104,119.72147,50
Sulawesi,Mentari,1.4711,125.15311,Angkasa,-4.07671,121.63507,50
Sulawesi,Mentari,1.4711,125.15311,Sejahtera,0.72119,124.30148,50
Sulawesi,Mentari,1.4711,125.15311,Asri,-2.52535,120.82405,50
Sulawesi,Mentari,1.4711,125.15311,Nirwana,0.48671,122.07034,50
Sulawesi,Mentari,1.4711,125.15311,Teratai,-4.81645,119.54193,50
Sulawesi,Mentari,1.4711,125.15311,Samudra,-0.81564,120.17009,50
Sulawesi,Mentari,1.4711,125.15311,Satria,-3.42045,119.31694,50
Sulawesi,Mentari,1.4711,125.15311,Sidoasih,-4.14356,120.03914,50
Sulawesi,Mentari,1.4711,125.15311,Arunika,-5.12906,120.25357,50
Sulawesi,Mentari,1.4711,125.15311,Kenanga,-5.3974,119.43746,50
Sulawesi,Mentari,1.4711,125.15311,Seruni,1.29712,124.8362,50
Sulawesi,Mentari,1.4711,125.15311,Mutiara,-3.0292,119.8819,50
Sulawesi,Mentari,1.4711,125.15311,Mawar,-4.03681,122.48113,50
Sulawesi,Harmoni,-5.25188,120.15831,Surya,1.25533,124.63187,50
Sulawesi,Harmoni,-5.25188,120.15831,Sagara,-4.40562,119.61877,50
Sulawesi,Harmoni,-5.25188,120.15831,Melati,-3.36284,120.36455,50
Sulawesi,Harmoni,-5.25188,120.15831,Mentari,1.4711,125.15311,50
Sulawesi,Harmoni,-5.25188,120.15831,Rimba,-5.20514,119.46374,50
Sulawesi,Harmoni,-5.25188,120.15831,Bunga,-5.70104,119.72147,50
Sulawesi,Harmoni,-5.25188,120.15831,Angkasa,-4.07671,121.63507,50
Sulawesi,Harmoni,-5.25188,120.15831,Sejahtera,0.72119,124.30148,50
Sulawesi,Harmoni,-5.25188,120.15831,Asri,-2.52535,120.82405,50
Sulawesi,Harmoni,-5.25188,120.15831,Nirwana,0.48671,122.07034,50
Sulawesi,Harmoni,-5.25188,120.15831,Teratai,-4.81645,119.54193,50
Sulawesi,Harmoni,-5.25188,120.15831,Samudra,-0.81564,120.17009,50
Sulawesi,Harmoni,-5.25188,120.15831,Satria,-3.42045,119.31694,50
Sulawesi,Harmoni,-5.25188,120.15831,Sidoasih,-4.14356,120.03914,50
Sulawesi,Harmoni,-5.25188,120.15831,Arunika,-5.12906,120.25357,50
Sulawesi,Harmoni,-5.25188,120.15831,Kenanga,-5.3974,119.43746,50
Sulawesi,Harmoni,-5.25188,120.15831,Seruni,1.29712,124.8362,50
Sulawesi,Harmoni,-5.25188,120.15831,Mutiara,-3.0292,119.8819,50
Sulawesi,Harmoni,-5.25188,120.15831,Mawar,-4.03681,122.48113,50
Sulawesi,Rimba,-5.20514,119.46374,Surya,1.25533,124.63187,50
Sulawesi,Rimba,-5.20514,119.46374,Sagara,-4.40562,119.61877,50
Sulawesi,Rimba,-5.20514,119.46374,Melati,-3.36284,120.36455,50
Sulawesi,Rimba,-5.20514,119.46374,Mentari,1.4711,125.15311,50
Sulawesi,Rimba,-5.20514,119.46374,Harmoni,-5.25188,120.15831,50
Sulawesi,Rimba,-5.20514,119.46374,Bunga,-5.70104,119.72147,50
Sulawesi,Rimba,-5.20514,119.46374,Angkasa,-4.07671,121.63507,50
Sulawesi,Rimba,-5.20514,119.46374,Sejahtera,0.72119,124.30148,50
Sulawesi,Rimba,-5.20514,119.46374,Asri,-2.52535,120.82405,50
Sulawesi,Rimba,-5.20514,119.46374,Nirwana,0.48671,122.07034,50
Sulawesi,Rimba,-5.20514,119.46374,Teratai,-4.81645,119.54193,50
Sulawesi,Rimba,-5.20514,119.46374,Samudra,-0.81564,120.17009,50
Sulawesi,Rimba,-5.20514,119.46374,Satria,-3.42045,119.31694,50
Sulawesi,Rimba,-5.20514,119.46374,Sidoasih,-4.14356,120.03914,50
Sulawesi,Rimba,-5.20514,119.46374,Arunika,-5.12906,120.25357,50
Sulawesi,Rimba,-5.20514,119.46374,Kenanga,-5.3974,119.43746,50
Sulawesi,Rimba,-5.20514,119.46374,Seruni,1.29712,124.8362,50
Sulawesi,Rimba,-5.20514,119.46374,Mutiara,-3.0292,119.8819,50
Sulawesi,Rimba,-5.20514,119.46374,Mawar,-4.03681,122.48113,50
Sulawesi,Bunga,-5.70104,119.72147,Surya,1.25533,124.63187,50
Sulawesi,Bunga,-5.70104,119.72147,Sagara,-4.40562,119.61877,50
Sulawesi,Bunga,-5.70104,119.72147,Melati,-3.36284,120.36455,50
Sulawesi,Bunga,-5.70104,119.72147,Mentari,1.4711,125.15311,50
Sulawesi,Bunga,-5.70104,119.72147,Harmoni,-5.25188,120.15831,50
Sulawesi,Bunga,-5.70104,119.72147,Rimba,-5.20514,119.46374,50
Sulawesi,Bunga,-5.70104,119.72147,Angkasa,-4.07671,121.63507,50
Sulawesi,Bunga,-5.70104,119.72147,Sejahtera,0.72119,124.30148,50
Sulawesi,Bunga,-5.70104,119.72147,Asri,-2.52535,120.82405,50
Sulawesi,Bunga,-5.70104,119.72147,Nirwana,0.48671,122.07034,50
Sulawesi,Bunga,-5.70104,119.72147,Teratai,-4.81645,119.54193,50
Sulawesi,Bunga,-5.70104,119.72147,Samudra,-0.81564,120.17009,50
Sulawesi,Bunga,-5.70104,119.72147,Satria,-3.42045,119.31694,50
Sulawesi,Bunga,-5.70104,119.72147,Sidoasih,-4.14356,120.03914,50
Sulawesi,Bunga,-5.70104,119.72147,Arunika,-5.12906,120.25357,50
Sulawesi,Bunga,-5.70104,119.72147,Kenanga,-5.3974,119.43746,50
Sulawesi,Bunga,-5.70104,119.72147,Seruni,1.29712,124.8362,50
Sulawesi,Bunga,-5.70104,119.72147,Mutiara,-3.0292,119.8819,50
Sulawesi,Bunga,-5.70104,119.72147,Mawar,-4.03681,122.48113,50
Sulawesi,Angkasa,-4.07671,121.63507,Surya,1.25533,124.63187,50
Sulawesi,Angkasa,-4.07671,121.63507,Sagara,-4.40562,119.61877,50
Sulawesi,Angkasa,-4.07671,121.63507,Melati,-3.36284,120.36455,50
Sulawesi,Angkasa,-4.07671,121.63507,Mentari,1.4711,125.15311,50
Sulawesi,Angkasa,-4.07671,121.63507,Harmoni,-5.25188,120.15831,50
Sulawesi,Angkasa,-4.07671,121.63507,Rimba,-5.20514,119.46374,50
Sulawesi,Angkasa,-4.07671,121.63507,Bunga,-5.70104,119.72147,50
Sulawesi,Angkasa,-4.07671,121.63507,Sejahtera,0.72119,124.30148,50
Sulawesi,Angkasa,-4.07671,121.63507,Asri,-2.52535,120.82405,50
Sulawesi,Angkasa,-4.07671,121.63507,Nirwana,0.48671,122.07034,50
Sulawesi,Angkasa,-4.07671,121.63507,Teratai,-4.81645,119.54193,50
Sulawesi,Angkasa,-4.07671,121.63507,Samudra,-0.81564,120.17009,50
Sulawesi,Angkasa,-4.07671,121.63507,Satria,-3.42045,119.31694,50
Sulawesi,Angkasa,-4.07671,121.63507,Sidoasih,-4.14356,120.03914,50
Sulawesi,Angkasa,-4.07671,121.63507,Arunika,-5.12906,120.25357,50
Sulawesi,Angkasa,-4.07671,121.63507,Kenanga,-5.3974,119.43746,50
Sulawesi,Angkasa,-4.07671,121.63507,Seruni,1.29712,124.8362,50
Sulawesi,Angkasa,-4.07671,121.63507,Mutiara,-3.0292,119.8819,50
Sulawesi,Angkasa,-4.07671,121.63507,Mawar,-4.03681,122.48113,50
Sulawesi,Sejahtera,0.72119,124.30148,Surya,1.25533,124.63187,50
Sulawesi,Sejahtera,0.72119,124.30148,Sagara,-4.40562,119.61877,50
Sulawesi,Sejahtera,0.72119,124.30148,Melati,-3.36284,120.36455,50
Sulawesi,Sejahtera,0.72119,124.30148,Mentari,1.4711,125.15311,50
Sulawesi,Sejahtera,0.72119,124.30148,Harmoni,-5.25188,120.15831,50
Sulawesi,Sejahtera,0.72119,124.30148,Rimba,-5.20514,119.46374,50
Sulawesi,Sejahtera,0.72119,124.30148,Bunga,-5.70104,119.72147,50
Sulawesi,Sejahtera,0.72119,124.30148,Angkasa,-4.07671,121.63507,50
Sulawesi,Sejahtera,0.72119,124.30148,Asri,-2.52535,120.82405,50
Sulawesi,Sejahtera,0.72119,124.30148,Nirwana,0.48671,122.07034,50
Sulawesi,Sejahtera,0.72119,124.30148,Teratai,-4.81645,119.54193,50
Sulawesi,Sejahtera,0.72119,124.30148,Samudra,-0.81564,120.17009,50
Sulawesi,Sejahtera,0.72119,124.30148,Satria,-3.42045,119.31694,50
Sulawesi,Sejahtera,0.72119,124.30148,Sidoasih,-4.14356,120.03914,50
Sulawesi,Sejahtera,0.72119,124.30148,Arunika,-5.12906,120.25357,50
Sulawesi,Sejahtera,0.72119,124.30148,Kenanga,-5.3974,119.43746,50
Sulawesi,Sejahtera,0.72119,124.30148,Seruni,1.29712,124.8362,50
Sulawesi,Sejahtera,0.72119,124.30148,Mutiara,-3.0292,119.8819,50
Sulawesi,Sejahtera,0.72119,124.30148,Mawar,-4.03681,122.48113,50
Sulawesi,Asri,-2.52535,120.82405,Surya,1.25533,124.63187,50
Sulawesi,Asri,-2.52535,120.82405,Sagara,-4.40562,119.61877,50
Sulawesi,Asri,-2.52535,120.82405,Melati,-3.36284,120.36455,50
Sulawesi,Asri,-2.52535,120.82405,Mentari,1.4711,125.15311,50
Sulawesi,Asri,-2.52535,120.82405,Harmoni,-5.25188,120.15831,50
Sulawesi,Asri,-2.52535,120.82405,Rimba,-5.20514,119.46374,50
Sulawesi,Asri,-2.52535,120.82405,Bunga,-5.70104,119.72147,50
Sulawesi,Asri,-2.52535,120.82405,Angkasa,-4.07671,121.63507,50
Sulawesi,Asri,-2.52535,120.82405,Sejahtera,0.72119,124.30148,50
Sulawesi,Asri,-2.52535,120.82405,Nirwana,0.48671,122.07034,50
Sulawesi,Asri,-2.52535,120.82405,Teratai,-4.81645,119.54193,50
Sulawesi,Asri,-2.52535,120.82405,Samudra,-0.81564,120.17009,50
Sulawesi,Asri,-2.52535,120.82405,Satria,-3.42045,119.31694,50
Sulawesi,Asri,-2.52535,120.82405,Sidoasih,-4.14356,120.03914,50
Sulawesi,Asri,-2.52535,120.82405,Arunika,-5.12906,120.25357,50
Sulawesi,Asri,-2.52535,120.82405,Kenanga,-5.3974,119.43746,50
Sulawesi,Asri,-2.52535,120.82405,Seruni,1.29712,124.8362,50
Sulawesi,Asri,-2.52535,120.82405,Mutiara,-3.0292,119.8819,50
Sulawesi,Asri,-2.52535,120.82405,Mawar,-4.03681,122.48113,50
Sulawesi,Nirwana,0.48671,122.07034,Surya,1.25533,124.63187,50
Sulawesi,Nirwana,0.48671,122.07034,Sagara,-4.40562,119.61877,50
Sulawesi,Nirwana,0.48671,122.07034,Melati,-3.36284,120.36455,50
Sulawesi,Nirwana,0.48671,122.07034,Mentari,1.4711,125.15311,50
Sulawesi,Nirwana,0.48671,122.07034,Harmoni,-5.25188,120.15831,50
Sulawesi,Nirwana,0.48671,122.07034,Rimba,-5.20514,119.46374,50
Sulawesi,Nirwana,0.48671,122.07034,Bunga,-5.70104,119.72147,50
Sulawesi,Nirwana,0.48671,122.07034,Angkasa,-4.07671,121.63507,50
Sulawesi,Nirwana,0.48671,122.07034,Sejahtera,0.72119,124.30148,50
Sulawesi,Nirwana,0.48671,122.07034,Asri,-2.52535,120.82405,50
Sulawesi,Nirwana,0.48671,122.07034,Teratai,-4.81645,119.54193,50
Sulawesi,Nirwana,0.48671,122.07034,Samudra,-0.81564,120.17009,50
Sulawesi,Nirwana,0.48671,122.07034,Satria,-3.42045,119.31694,50
Sulawesi,Nirwana,0.48671,122.07034,Sidoasih,-4.14356,120.03914,50
Sulawesi,Nirwana,0.48671,122.07034,Arunika,-5.12906,120.25357,50
Sulawesi,Nirwana,0.48671,122.07034,Kenanga,-5.3974,119.43746,50
Sulawesi,Nirwana,0.48671,122.07034,Seruni,1.29712,124.8362,50
Sulawesi,Nirwana,0.48671,122.07034,Mutiara,-3.0292,119.8819,50
Sulawesi,Nirwana,0.48671,122.07034,Mawar,-4.03681,122.48113,50
Sulawesi,Teratai,-4.81645,119.54193,Surya,1.25533,124.63187,50
Sulawesi,Teratai,-4.81645,119.54193,Sagara,-4.40562,119.61877,50
Sulawesi,Teratai,-4.81645,119.54193,Melati,-3.36284,120.36455,50
Sulawesi,Teratai,-4.81645,119.54193,Mentari,1.4711,125.15311,50
Sulawesi,Teratai,-4.81645,119.54193,Harmoni,-5.25188,120.15831,50
Sulawesi,Teratai,-4.81645,119.54193,Rimba,-5.20514,119.46374,50
Sulawesi,Teratai,-4.81645,119.54193,Bunga,-5.70104,119.72147,50
Sulawesi,Teratai,-4.81645,119.54193,Angkasa,-4.07671,121.63507,50
Sulawesi,Teratai,-4.81645,119.54193,Sejahtera,0.72119,124.30148,50
Sulawesi,Teratai,-4.81645,119.54193,Asri,-2.52535,120.82405,50
Sulawesi,Teratai,-4.81645,119.54193,Nirwana,0.48671,122.07034,50
Sulawesi,Teratai,-4.81645,119.54193,Samudra,-0.81564,120.17009,50
Sulawesi,Teratai,-4.81645,119.54193,Satria,-3.42045,119.31694,50
Sulawesi,Teratai,-4.81645,119.54193,Sidoasih,-4.14356,120.03914,50
Sulawesi,Teratai,-4.81645,119.54193,Arunika,-5.12906,120.25357,50
Sulawesi,Teratai,-4.81645,119.54193,Kenanga,-5.3974,119.43746,50
Sulawesi,Teratai,-4.81645,119.54193,Seruni,1.29712,124.8362,50
Sulawesi,Teratai,-4.81645,119.54193,Mutiara,-3.0292,119.8819,50
Sulawesi,Teratai,-4.81645,119.54193,Mawar,-4.03681,122.48113,50
Sulawesi,Samudra,-0.81564,120.17009,Surya,1.25533,124.63187,50
Sulawesi,Samudra,-0.81564,120.17009,Sagara,-4.40562,119.61877,50
Sulawesi,Samudra,-0.81564,120.17009,Melati,-3.36284,120.36455,50
Sulawesi,Samudra,-0.81564,120.17009,Mentari,1.4711,125.15311,50
Sulawesi,Samudra,-0.81564,120.17009,Harmoni,-5.25188,120.15831,50
Sulawesi,Samudra,-0.81564,120.17009,Rimba,-5.20514,119.46374,50
Sulawesi,Samudra,-0.81564,120.17009,Bunga,-5.70104,119.72147,50
Sulawesi,Samudra,-0.81564,120.17009,Angkasa,-4.07671,121.63507,50
Sulawesi,Samudra,-0.81564,120.17009,Sejahtera,0.72119,124.30148,50
Sulawesi,Samudra,-0.81564,120.17009,Asri,-2.52535,120.82405,50
Sulawesi,Samudra,-0.81564,120.17009,Nirwana,0.48671,122.07034,50
Sulawesi,Samudra,-0.81564,120.17009,Teratai,-4.81645,119.54193,50
Sulawesi,Samudra,-0.81564,120.17009,Satria,-3.42045,119.31694,50
Sulawesi,Samudra,-0.81564,120.17009,Sidoasih,-4.14356,120.03914,50
Sulawesi,Samudra,-0.81564,120.17009,Arunika,-5.12906,120.25357,50
Sulawesi,Samudra,-0.81564,120.17009,Kenanga,-5.3974,119.43746,50
Sulawesi,Samudra,-0.81564,120.17009,Seruni,1.29712,124.8362,50
Sulawesi,Samudra,-0.81564,120.17009,Mutiara,-3.0292,119.8819,50
Sulawesi,Samudra,-0.81564,120.17009,Mawar,-4.03681,122.48113,50
Sulawesi,Satria,-3.42045,119.31694,Surya,1.25533,124.63187,50
Sulawesi,Satria,-3.42045,119.31694,Sagara,-4.40562,119.61877,50
Sulawesi,Satria,-3.42045,119.31694,Melati,-3.36284,120.36455,50
Sulawesi,Satria,-3.42045,119.31694,Mentari,1.4711,125.15311,50
Sulawesi,Satria,-3.42045,119.31694,Harmoni,-5.25188,120.15831,50
Sulawesi,Satria,-3.42045,119.31694,Rimba,-5.20514,119.46374,50
Sulawesi,Satria,-3.42045,119.31694,Bunga,-5.70104,119.72147,50
Sulawesi,Satria,-3.42045,119.31694,Angkasa,-4.07671,121.63507,50
Sulawesi,Satria,-3.42045,119.31694,Sejahtera,0.72119,124.30148,50
Sulawesi,Satria,-3.42045,119.31694,Asri,-2.52535,120.82405,50
Sulawesi,Satria,-3.42045,119.31694,Nirwana,0.48671,122.07034,50
Sulawesi,Satria,-3.42045,119.31694,Teratai,-4.81645,119.54193,50
Sulawesi,Satria,-3.42045,119.31694,Samudra,-0.81564,120.17009,50
Sulawesi,Satria,-3.42045,119.31694,Sidoasih,-4.14356,120.03914,50
Sulawesi,Satria,-3.42045,119.31694,Arunika,-5.12906,120.25357,50
Sulawesi,Satria,-3.42045,119.31694,Kenanga,-5.3974,119.43746,50
Sulawesi,Satria,-3.42045,119.31694,Seruni,1.29712,124.8362,50
Sulawesi,Satria,-3.42045,119.31694,Mutiara,-3.0292,119.8819,50
Sulawesi,Satria,-3.42045,119.31694,Mawar,-4.03681,122.48113,50
Sulawesi,Sidoasih,-4.14356,120.03914,Surya,1.25533,124.63187,50
Sulawesi,Sidoasih,-4.14356,120.03914,Sagara,-4.40562,119.61877,50
Sulawesi,Sidoasih,-4.14356,120.03914,Melati,-3.36284,120.36455,50
Sulawesi,Sidoasih,-4.14356,120.03914,Mentari,1.4711,125.15311,50
Sulawesi,Sidoasih,-4.14356,120.03914,Harmoni,-5.25188,120.15831,50
Sulawesi,Sidoasih,-4.14356,120.03914,Rimba,-5.20514,119.46374,50
Sulawesi,Sidoasih,-4.14356,120.03914,Bunga,-5.70104,119.72147,50
Sulawesi,Sidoasih,-4.14356,120.03914,Angkasa,-4.07671,121.63507,50
Sulawesi,Sidoasih,-4.14356,120.03914,Sejahtera,0.72119,124.30148,50
Sulawesi,Sidoasih,-4.14356,120.03914,Asri,-2.52535,120.82405,50
Sulawesi,Sidoasih,-4.14356,120.03914,Nirwana,0.48671,122.07034,50
Sulawesi,Sidoasih,-4.14356,120.03914,Teratai,-4.81645,119.54193,50
Sulawesi,Sidoasih,-4.14356,120.03914,Samudra,-0.81564,120.17009,50
Sulawesi,Sidoasih,-4.14356,120.03914,Satria,-3.42045,119.31694,50
Sulawesi,Sidoasih,-4.14356,120.03914,Arunika,-5.12906,120.25357,50
Sulawesi,Sidoasih,-4.14356,120.03914,Kenanga,-5.3974,119.43746,50
Sulawesi,Sidoasih,-4.14356,120.03914,Seruni,1.29712,124.8362,50
Sulawesi,Sidoasih,-4.14356,120.03914,Mutiara,-3.0292,119.8819,50
Sulawesi,Sidoasih,-4.14356,120.03914,Mawar,-4.03681,122.48113,50
Sulawesi,Arunika,-5.12906,120.25357,Surya,1.25533,124.63187,50
Sulawesi,Arunika,-5.12906,120.25357,Sagara,-4.40562,119.61877,50
Sulawesi,Arunika,-5.12906,120.25357,Melati,-3.36284,120.36455,50
Sulawesi,Arunika,-5.12906,120.25357,Mentari,1.4711,125.15311,50
Sulawesi,Arunika,-5.12906,120.25357,Harmoni,-5.25188,120.15831,50
Sulawesi,Arunika,-5.12906,120.25357,Rimba,-5.20514,119.46374,50
Sulawesi,Arunika,-5.12906,120.25357,Bunga,-5.70104,119.72147,50
Sulawesi,Arunika,-5.12906,120.25357,Angkasa,-4.07671,121.63507,50
Sulawesi,Arunika,-5.12906,120.25357,Sejahtera,0.72119,124.30148,50
Sulawesi,Arunika,-5.12906,120.25357,Asri,-2.52535,120.82405,50
Sulawesi,Arunika,-5.12906,120.25357,Nirwana,0.48671,122.07034,50
Sulawesi,Arunika,-5.12906,120.25357,Teratai,-4.81645,119.54193,50
Sulawesi,Arunika,-5.12906,120.25357,Samudra,-0.81564,120.17009,50
Sulawesi,Arunika,-5.12906,120.25357,Satria,-3.42045,119.31694,50
Sulawesi,Arunika,-5.12906,120.25357,Sidoasih,-4.14356,120.03914,50
Sulawesi,Arunika,-5.12906,120.25357,Kenanga,-5.3974,119.43746,50
Sulawesi,Arunika,-5.12906,120.25357,Seruni,1.29712,124.8362,50
